dim_1,dim_2,S_Ansiedad
0.02320601,0.12270507,0
0.07768237,2.133323,1
2.063859,2.090968,0
-0.9734177,-0.44181725,0
1.4311073,1.8657691,0
1.5888933,-3.4069848,1
2.928056,0.7197978,1
3.254349,0.7388453,1
1.5044811,2.6864846,1
-0.20777597,-1.7867022,0
-0.49560672,-3.9581223,1
2.1350389,-2.75954,0
4.0562806,-2.432688,1
-1.3537614,-1.7614658,1
3.5472763,3.2153578,1
2.73123,-1.9105484,0
2.4771836,3.2610574,1
0.9592663,-0.13292694,0
4.1508403,0.048895784,0
4.206962,-0.76283467,1
1.0444676,0.8356004,1
0.5908373,-0.047182273,1
0.20135833,-2.1228411,0
1.3749359,-2.1534302,1
-1.0270513,1.218816,0
2.6172724,-1.8653387,0
4.541869,1.7831035,0
5.129851,-0.7382541,0
0.50404274,-0.6228009,1
3.501583,-1.6771898,0
-0.74057007,-3.7127266,0
1.4447665,-1.3465414,0
2.9093955,-3.3033333,1
1.4030094,-1.0612738,1
2.0568948,-0.9400577,1
-0.97303504,1.6132814,1
